task_id,dataset,trial,auc_cv,num_emb_type,tabm_k,n_epochs
9952,phoneme,3,0.9393894345884265,plr,24,150
9952,phoneme,4,0.9439315026461934,pbld,40,100
9952,phoneme,5,0.9449142632078683,lt,64,300
9952,phoneme,6,0.9466660107550583,plr,8,200
9952,phoneme,7,0.9393894345884265,pbld,24,200
9952,phoneme,8,0.9449142632078683,plr,64,300
9952,phoneme,9,0.9466660107550583,pbld,8,150
9952,phoneme,10,0.9439315026461934,lt,40,100
9952,phoneme,11,0.9466660107550583,pbld,8,250
9952,phoneme,12,0.9471678020559675,pbld,16,250
9952,phoneme,13,0.9407954095016995,none,32,250
9952,phoneme,14,0.9471678020559675,pbld,16,250
9952,phoneme,15,0.9474932666573956,pbld,48,150
9952,phoneme,16,0.9474932666573956,pbld,48,150
9952,phoneme,17,0.9474932666573956,none,48,150
9952,phoneme,18,0.9453197632159093,lt,56,150
9952,phoneme,19,0.9474932666573956,pbld,48,150
9952,phoneme,20,0.9474932666573956,pbld,48,200
9952,phoneme,21,0.9474932666573956,none,48,150
9952,phoneme,22,0.9453197632159093,none,56,150
9952,phoneme,23,0.9453197632159093,none,56,100
9952,phoneme,24,0.9439315026461934,none,40,150
9952,phoneme,25,0.9474932666573956,none,48,200
9952,phoneme,26,0.9407954095016995,plr,32,100
9952,phoneme,27,0.9453197632159093,lt,56,150
9952,phoneme,28,0.9439315026461934,pbld,40,200
9952,phoneme,29,0.9474932666573956,pbld,48,100
9952,phoneme,30,0.9407954095016995,none,32,150
9952,phoneme,31,0.9474932666573956,pbld,48,150
9952,phoneme,32,0.9453197632159093,pbld,56,150
9952,phoneme,33,0.9474932666573956,pbld,48,100
9952,phoneme,34,0.9439315026461934,pbld,40,200
9952,phoneme,35,0.9449142632078683,pbld,64,150
9952,phoneme,36,0.9474932666573956,pbld,48,100
9952,phoneme,37,0.9453197632159093,plr,56,150
9952,phoneme,38,0.9439315026461934,pbld,40,200
9952,phoneme,39,0.9407954095016995,none,32,150
9952,phoneme,40,0.9474932666573956,lt,48,100
9952,phoneme,41,0.9474932666573956,pbld,48,200
9952,phoneme,42,0.9439315026461934,pbld,40,200
9952,phoneme,43,0.9449142632078683,pbld,64,150
9952,phoneme,44,0.9474932666573956,pbld,48,150
9952,phoneme,45,0.9453197632159093,plr,56,200
9952,phoneme,46,0.9439315026461934,pbld,40,200
9952,phoneme,47,0.9474932666573956,pbld,48,250
9952,phoneme,48,0.9453197632159093,pbld,56,150
9952,phoneme,49,0.9474932666573956,lt,48,200
23,cmc,0,0.7257770821195281,pbld,16,100
23,cmc,1,0.721249966673133,pbld,8,300
23,cmc,2,0.7297518626661529,none,24,200
23,cmc,3,0.7297518626661529,plr,24,150
23,cmc,4,0.7253460682571745,pbld,40,100
23,cmc,5,0.7141350798432221,lt,64,300
23,cmc,6,0.721249966673133,plr,8,200
23,cmc,7,0.7297518626661529,pbld,24,200
23,cmc,8,0.7141350798432221,plr,64,300
23,cmc,9,0.721249966673133,pbld,8,150
23,cmc,10,0.7253460682571745,none,40,250
23,cmc,11,0.7209101645112862,none,32,150
23,cmc,12,0.7297518626661529,none,24,150
23,cmc,13,0.724926724281924,plr,48,250
23,cmc,14,0.7297518626661529,lt,24,200
23,cmc,15,0.7209101645112862,none,32,150
23,cmc,16,0.724926724281924,plr,48,250
23,cmc,17,0.7257770821195281,none,16,200
23,cmc,18,0.7257770821195281,plr,16,100
23,cmc,19,0.724926724281924,lt,48,150
23,cmc,20,0.7209101645112862,none,32,250
23,cmc,21,0.7297518626661529,pbld,24,200
23,cmc,22,0.7297518626661529,plr,24,200
23,cmc,23,0.7257770821195281,pbld,16,200
23,cmc,24,0.7297518626661529,plr,24,150
23,cmc,25,0.7209101645112862,pbld,32,200
23,cmc,26,0.7253460682571745,none,40,250
23,cmc,27,0.7257770821195281,lt,16,150
23,cmc,28,0.7297518626661529,pbld,24,200
23,cmc,29,0.7209101645112862,plr,32,100
23,cmc,30,0.7257770821195281,none,16,100
23,cmc,31,0.7297518626661529,none,24,150
23,cmc,32,0.7297518626661529,none,24,150
23,cmc,33,0.721249966673133,none,8,150
23,cmc,34,0.7257770821195281,pbld,16,100
23,cmc,35,0.7253460682571745,none,40,200
23,cmc,36,0.7209101645112862,pbld,32,150
23,cmc,37,0.7297518626661529,lt,24,200
23,cmc,38,0.721249966673133,plr,8,250
23,cmc,39,0.7180112225969527,none,56,100
23,cmc,40,0.7209101645112862,pbld,32,300
23,cmc,41,0.7297518626661529,lt,24,200
23,cmc,42,0.7297518626661529,lt,24,200
23,cmc,43,0.7297518626661529,lt,24,150
23,cmc,44,0.7257770821195281,lt,16,250
23,cmc,45,0.7209101645112862,plr,32,200
23,cmc,46,0.7253460682571745,none,40,150
23,cmc,47,0.7257770821195281,lt,16,200
23,cmc,48,0.721249966673133,none,8,250
23,cmc,49,0.7297518626661529,plr,24,150
7592,adult,0,0.9137068925591866,pbld,16,100
7592,adult,1,0.9130449110815103,pbld,8,300
7592,adult,2,0.9131701279559407,none,24,200
7592,adult,3,0.9131701279559407,plr,24,150
7592,adult,4,0.9138073303617696,pbld,40,100
7592,adult,5,0.9137814692854551,lt,64,300
7592,adult,6,0.9130449110815103,plr,8,200
7592,adult,7,0.9131701279559407,pbld,24,200
7592,adult,8,0.9137814692854551,plr,64,300
7592,adult,9,0.9130449110815103,pbld,8,150
